speed,elevationGradient,heartRate
0.525993,0,81
0.523421,0.137557,82
0.358296,0,86
0.055404,0,90.2
0.152732,0,92.4
0.246232,0,89.4
0.792711,0.0908275,88.4
1.12659,0.0639098,87.2
0.16004,0,86.4
0,0,86.2
0.0800198,0,88.8
0.246232,0,89.4
0.617554,0,90.2
2.94248,0.0489383,91
7.31116,0.0295439,93.4
7.21307,0.0199638,94.4
7.49866,0.0288051,98.2
7.6576,0.0188049,100.8
8.0182,0.0179591,106
8.50892,0.0423085,110.6
8.75935,0.0328791,116.6
8.82748,0.024469,119.2
8.81781,0.0163306,122.2
8.55886,0.0168247,125.2
8.42585,0.0341805,126.2
8.31466,0.0519564,128
8.40815,0.0428156,129.8
8.54547,0.0589786,131.6
8.70399,0.0413603,132.6
8.75928,0.0246596,133
8.76108,0.0164363,133.2
8.76852,0.0246336,132.8
8.48623,0.0169687,132.4
8.20561,0.0350979,131.2
8.43454,0.0170727,130.4
8.48238,0.00848819,130.6
8.56387,0,130
8.57667,0,130.4
9.05783,0,129.8
8.80483,-0.00817733,126.4
9.01462,0,124.2
7.25096,0.0198594,122.2
8.62033,0.025057,119.8
8.56145,0.0252294,118.2
8.56145,0.0336392,116.2
8.47833,0.033969,115.2
8.41018,0.0342442,116.6
8.34208,0.0345238,119.2
8.32264,0.0346044,119
8.60706,0.0334609,121.2
8.77169,0.0492494,123.2
8.78095,0.0409979,124.4
8.66192,0.0415612,125
8.60676,0.0418276,125.8
8.60707,0.0334609,127.2
8.60677,0.0418276,129.6
8.76273,0.0575163,131.2
8.60707,0.0669217,133.4
8.97073,0.0561827,134.8
9.51818,0.0529513,136
8.4687,0.0425095,136
8.89081,0.0404913,136
8.98314,0.0400751,136
8.95815,0.0482242,132.6
9.16873,0.0392639,131.2
8.78119,0.0327974,133.8
8.62083,0.0334075,133.8
9.12362,0.0078916,134.4
9.02687,-0.00797619,134
9.70488,-0.00741895,133.6
8.91472,0,133.4
8.52712,0,135
9.45349,0,136.8
10.9514,0.00657452,133.8
11.2106,0.012845,131.4
10.5194,0.00684452,127.6
9.91776,0.0145194,124.2
9.49037,0.00758664,120.6
9.25002,0.0155675,119.4
9.26345,0.015545,118.4
9.33309,0.0462869,118.8
9.35699,0.0538635,120.6
9.46672,0.0456335,122.6
9.29632,0.038725,126.2
8.76946,0.0328412,127.6
9.22037,0.0312352,126.4
10.0163,0.0359415,127.4
9.56467,0.0376385,127
9.14938,0.0314776,126.2
9.46386,0.0228237,126.8
9.7413,0.0295648,127.2
9.50206,0.0227319,129.2
8.99799,0.0240054,131
8.98784,0.0240325,131
9.29808,0.0154871,131
9.62662,0.00747926,132
10.0729,0,132
9.77983,-0.00736209,129.6
9.39862,-0.0076607,129.2
10.17,-0.0141593,129.2
10.8176,-0.0266234,131
10.1946,-0.0282502,131.8
10.0909,-0.0499459,130.4
10.7035,-0.0672675,129.4
10.2191,-0.0634104,127.6
9.77984,-0.0662587,127.6
10.0747,-0.0643198,125.6
10.2612,-0.0771842,122
10.2706,-0.0771131,122
10.3224,-0.0558012,123
10.2779,-0.0490374,124.2
10.1814,-0.0565735,128.2
9.93552,-0.079714,130.6
9.62233,-0.0823085,132.4
9.47487,-0.0911886,133
9.41076,-0.0765082,127.2
9.26296,-0.0932748,122
9.26296,-0.116593,117
9.1098,-0.0948429,114.6
9.07035,-0.103193,113
9.32293,-0.115843,112.8
7.57003,-0.180713,112
6.61192,-0.0871154,111
8.43986,-0.102371,105.6
8.71719,-0.107374,105.4
8.45816,-0.110662,106.8
7.85491,-0.109995,107.4
8.40838,-0.111318,109.8
10.2991,-0.0908822,108.6
9.37329,-0.115221,105.8
8.40686,-0.102773,104.2
8.82285,-0.0897669,104.4
9.50419,-0.0757561,107
9.60458,-0.0674678,106.8
9.53245,-0.0604252,105.4
9.70363,-0.0593592,106.2
10.3143,-0.0628252,109.2
11.6405,-0.0618528,113
10.8199,-0.0598899,114.2
9.61395,-0.0524238,113.8
9.65085,-0.0522234,112.8
10.1905,-0.049458,112.2
10.3999,-0.0553852,113
10.7019,-0.0470945,113.2
9.94155,-0.0506963,114.2
9.99037,-0.0432416,113.8
10.5312,-0.0546945,112.6
10.3635,-0.0555799,114.2
10.3081,-0.0488936,114.6
11.1091,-0.045368,113.2
11.2292,-0.0448829,113
9.17831,-0.0627566,113.4
10.6786,-0.0741669,114.2
11.8552,-0.0850258,117.2
10.8104,-0.0999034,117.2
10.5378,-0.102488,121.4
10.4009,-0.0969148,124.4
10.7152,-0.0671941,125
9.98744,-0.0576724,126.8
10.5396,-0.0614826,129
10.8415,-0.0664113,129
10.9079,-0.0726082,129
10.8136,-0.0665828,128.2
10.704,-0.0672646,126
10.6484,-0.0540928,125
10.4873,-0.0480582,125
8.56139,-0.0252295,124.6
10.283,-0.0350094,118.2
10.635,-0.0338506,119.8
10.1523,-0.0496441,125.2
10.3493,-0.013914,129.4
10.4327,0.0276055,133.4
10.6148,0.0406978,138
11.0104,0.0653927,142.2
10.9431,0.11843,143.6
10.4829,0.103025,145.4
10.2023,0.134087,147
11.0705,0.0520302,148
9.46624,0.11409,149.2
13.5726,0.206887,150.2
12.9895,0.0942297,154.4
10.4094,0.145253,154.4
10.5768,0.0953028,149.4
10.5624,0.143149,147.2
9.72078,0.118509,145.8
10.9799,0.0918045,143.6
11.5472,0,144.6
9.95856,-0.0289198,142
8.69451,-0.0745298,142
9.01699,-0.0878342,143.4
9.78751,-0.132414,142.8
10.2151,-0.0916292,137.2
10.2128,-0.169199,138.4
11.2211,-0.147579,138.2
12.517,-0.00575219,137.8
12.2947,-0.0117123,136
11.2184,-0.0256722,135
10.8949,0.0462601,134.4
8.27182,0.104451,134
7.67973,0.084378,134
8.01714,0.125731,134
5.88671,0.0856166,135.2
6.42531,0.112057,135
5.07274,0.170322,135.2
7.2893,0.0987749,137
8.03959,0.161202,139.4
6.77016,0.0638094,140.8
8.93874,0.0563838,139.6
10.6025,0,142
12.0033,0.0539853,143.4
11.3654,0.133035,144.4
10.3241,0.132506,144.2
10.723,0.07386,144.6
11.8815,0.0969577,144.6
7.73025,0.0838265,145
11.0301,0.117496,144.2
10.1083,0.0783514,147
10.8166,0.0532516,147
9.22034,0.0468529,148.2
9.90549,0.0218061,148.6
10.4072,0.00691827,150.2
10.594,0.0067963,147.2
10.8486,0.0066368,144.8
10.4917,0.0068626,144
9.49338,0.0151685,144
8.49074,0.00847983,144.2
8.86919,0.00811799,141.8
8.70448,0,132
8.35605,0,124.4
8.67099,0,122.6
9.35376,0.00769744,120.6
9.70569,0.0148367,120
10.1914,0.0141296,111.8
9.70398,0.0222589,108.8
8.48347,0.0254613,105.4
7.73454,0.0279267,108
8.11951,0.0266026,107.4
9.25798,0.0233312,106.2
10.2045,0.0141114,116.8
10.5398,0.0204938,124
10.7074,0.0201729,126
10.7612,0.0401443,127.8
10.625,0.0406588,128
10.2846,0.0630068,128.4
10.0419,0.0645299,129.8
10.1031,0.0570121,133.2
10.4874,0.0411924,134
10.9344,0.0329235,134.4
11.2884,0.0191346,135.4
11.1542,0.0258199,136
11.0687,0.0195144,135.6
11.6185,0.018591,135.4
11.1541,0.0193652,136
10.827,0.0199502,135.8
11.05,0.0130317,135.6
10.9132,0.0263901,135.6
10.6882,0.0202091,134.2
10.3467,0.0208762,133.8
10.1196,0.0284597,133
9.97573,0.0360876,133
9.91278,0.0363168,133
9.72546,0.029613,132.2
9.65755,0.0372765,132
9.72167,0.0370307,131.4
9.93917,0.0289763,131.6
10.1726,0.0353891,131.4
10.4242,0.0345351,134.4
10.6113,0.0474965,133
10.5673,0.040881,133
10.3104,0.0488826,131.8
9.95892,0.0433782,132
9.67312,0.0595464,132.4
9.44178,0.0533798,132.8
9.32341,0.0540575,135.2
9.41618,0.0535249,140.2
9.73062,0.0517953,142.4
10.3749,0.0555186,140.6
9.70921,0.0593251,138.2
9.53013,0.0453299,139
10.6547,0.047303,140.2
9.44863,0.0533411,136.2
9.51384,0.0454076,136
10.5549,0.0204643,137
10.749,0.0267931,135.6
10.4784,0.0343563,136.8
10.3398,0.0417804,136.2
10.1181,0.0355796,136
10.2056,0.0705493,136
10.5685,0.0817525,136
10.6955,0.0538542,136.4
10.5133,0.0342424,134.2
10.2175,0.0634204,134.6
10.2121,0.063454,135
10.2945,0.0559524,135
10.2241,0.0281687,135.4
10.1181,0.0498118,135.8
10.0206,0.0502964,135.6
9.91831,0.0435558,135.2
9.88393,0.0509918,134
10.1711,0,133.8
10.3025,0,133.4
10.1091,0.00712228,132.2
9.86925,0,130.8
9.83281,0.00732242,128.4
9.89186,0.0218361,126.4
10.0101,0.0287711,126
10.1432,0.0354917,126.8
10.0259,0.0359068,127.8
9.43703,0.0457771,128
10.0587,0.0357898,128.4
10.475,0.0481144,127.4
10.6306,0.0406373,127.6
10.5118,0.0342471,128.2
10.1143,0.0355932,129.8
9.57712,0.0375896,129.6
9.59993,0.0450003,129.6
10.2132,0.0352486,132.8
9.84016,0.0439017,134
9.91811,0.0435567,134.8
10.3566,0.0417126,135.2
10.37,0.0416587,133.6
10.0044,0.043181,132.6
9.4619,0.0228284,134
9.17506,0.0235421,134.6
9.62056,0.0299359,133.8
9.9302,0.036253,133.8
10.2533,-0.0070221,132.8
10.0471,-0.0214987,131
10.8666,-0.0132516,131.8
9.99233,-0.014411,129.4
10.4689,-0.00687754,125.8
11.3736,-0.00633043,122
11.6048,0,121
11.3655,0.00633496,121
10.9683,0.0131287,120.6
10.6476,0.0135241,119.4
10.5802,0.0204155,118.8
10.8388,0.0265712,117.6
11.1392,0.0323182,118.2
11.0502,0.0195471,118.6
10.7699,0.0267412,118.4
10.7473,0.0334967,122.2
10.8432,0.0265603,123.6
11.1011,0.0259433,126.4
11.1964,0.0192919,129
11.1061,0.0194487,130
11.0518,0.0130295,133.4
10.9712,0.0131253,135.6
11.135,0.0064661,136
11.3064,0.00636807,135.4
11.8119,0,134
9.96483,0.0144508,133.2
9.27881,0.0310385,133.4
9.47278,0.0304029,133
8.8843,0.0324167,134
7.47737,0.0288871,133.4
5.19127,0.0277389,135.2
8.25728,0.0261587,133
10.1287,0.014217,130
10.3755,0.0138789,129.4
10.5308,0.00683711,130
10.5353,0.0273366,130.2
10.4384,0.0206929,129
10.1874,0.0212027,129
10.2502,0.0140486,129.6
10.6134,0.0135678,131.8
10.9783,0.0196752,136
10.9754,0.0131203,136.8
10.9186,0.0197828,136.8
10.8661,0.0265045,136.2
11.0977,0.0259513,138
11.3785,0.0253109,139
11.5999,0.0186209,140.4
11.2723,0.00638734,143.2
10.9351,0.0065843,143.4
10.9496,0.0065756,144
10.7468,0.0133993,145
10.8801,0.0132351,144
11.2651,0.00639144,144
11.4689,0.0188336,144.2
11.7042,0.0123033,145.2
11.5996,0.0124142,144
11.6266,0.00619267,141
11.3542,-0.00634124,142.4
10.6086,-0.0135739,141.2
11.1617,-0.0129013,140.8
10.8079,-0.0133236,139.4
10.4795,-0.0137411,135.8
10.3488,-0.00695735,132
10.3846,-0.00693334,124.2
10.6762,-0.00674397,121.2
11.0307,0.00652727,123.6
11.0646,0.00650722,125
10.7618,0.0133807,126.8
10.3547,0.0139067,125.8
10.1458,0.0141931,123.8
10.0947,0.0142649,122.2
10.2213,0.00704413,123.2
10.36,0.00694984,124.6
9.61441,0.00748876,126.2
10.1842,-0.0494885,125.4
10.6319,-0.0474046,124
11.744,-0.0429155,123.4
11.656,-0.0555939,125.2
12.07,-0.0656175,125
12.4368,-0.0810496,123.2
13.8106,-0.078201,123.2
13.9155,-0.067263,124.2
12.7863,-0.0619411,125.2
11.9715,-0.066157,127.8
11.5161,-0.0750255,127.6
11.6649,-0.0678957,124.4
11.7542,-0.0673799,121.6
10.4476,-0.0551323,121.6
11.4279,-0.050403,121.2
13.0494,-0.0496576,121.4
12.9982,-0.07201,120.6
12.0043,-0.071974,120
10.3371,-0.0905477,121.8
11.1781,-0.128823,125
12.3444,-0.0933214,126.2
12.3851,-0.127895,127.6
13.3923,-0.0645149,128
13.383,-0.00537995,132
12.8726,0.00559326,136
12.4025,0,138.8
12.4175,0,139.8
12.3582,-0.00582607,138.4
12.3994,-0.0174202,138.6
12.4752,-0.0230858,137
12.0826,-0.0297949,139
11.9084,-0.0302308,146.4
14.2653,-0.025236,150.6
13.0208,-0.0110593,153.2
12.0118,0,156.4
11.9665,-0.0060168,153.2
11.4165,-0.0252267,154.4
10.2704,-0.0280417,154.6
6.05968,-0.0237636,156.6
3.8227,-0.0376697,149.6
10.1038,-0.028504,137.6
11.1054,-0.0388999,133.4
10.4663,-0.0275169,133
11.1762,-0.0386536,130.4
11.0562,-0.039073,128.4
10.5315,-0.04102,127
10.4526,-0.0413293,128
10.9674,-0.0328245,126.6
12.328,-0.0350423,125
12.9154,-0.022299,122.6
12.8409,-0.0224283,121.8
12.5482,-0.0344273,121.8
12.1317,-0.047479,123.4
11.7479,-0.0306438,124
11.7692,-0.0244707,124.8
12.0297,-0.0179556,124.6
12.3065,0,124.2
11.3085,0.0127338,125.6
10.7122,0.0067213,127.2
13.7505,0.00523618,133.2
12.8008,-0.0112493,135.2
12.264,-0.0469667,137.2
10.0897,-0.078496,139
8.67784,-0.116158,160.4
7.81645,-0.13817,170.2
7.90386,-0.127533,174
11.7573,-0.110229,174.8
11.4014,-0.0757804,175.8
10.3983,-0.0415451,178.6
11.1439,-0.0193829,179.2
12.205,-0.00589921,180.2
12.4652,0.0115522,181
12.4222,0.0231843,179
12.0406,0.0538181,177
5.4048,-0.133215,177
7.53878,-0.105057,174.6
9.9226,-0.116099,173.6
10.5426,-0.129759,171.4
10.1916,-0.077711,167.2
9.90596,-0.123562,165.2
4.4532,-0.0970089,163
0.481848,-0.149425,158.8
0.525991,-0.136885,132
2.32242,-0.0930063,121.8
7.91592,-0.0818604,116.2
11.2857,-0.0829368,112.6
12.0809,-0.0893974,113
11.1338,-0.0905354,113
10.8148,-0.0798904,113.6
11.3947,-0.0695063,113.4
9.58293,-0.0751336,111.6
10.4915,-0.0686271,110.6
9.69497,-0.0445592,110.4
10.9778,-0.0327934,110.6
11.608,-0.031013,112.8
11.8564,-0.0242907,119
12.1066,-0.0237887,123.4
11.5317,-0.0374619,124
11.826,-0.0365295,127.4
12.8537,-0.0392104,132.6
11.7429,-0.0490508,134.8
11.6056,-0.0558351,133
12.109,-0.0654058,132
12.6346,-0.0626849,128
13.2628,-0.081431,130
13.651,-0.0474689,132.6
12.5717,-0.0572717,133.8
11.4512,-0.0377253,134
10.7175,-0.0335898,134.2
11.5886,-0.0310651,133.8
10.1549,-0.0638116,133
10.2648,-0.0350714,133.4
10.7149,-0.033598,133
10.6079,-0.0203621,131.2
9.81966,-0.0219967,130.2
10.481,-0.0206088,124.2
10.0681,-0.0214538,121
9.79669,-0.0146988,119
9.25796,0.0311084,116.6
9.80643,0.0513949,117.6
10.011,0.0431525,118
11.0319,0.0195795,118
10.5855,0.00680176,118
11.1066,-0.0129653,118.6
11.4085,-0.0189333,119
10.8732,-0.0264872,121
10.412,-0.0207452,127.2
11.6723,-0.0308422,130.4
15.0555,-0.0430407,136.6
11.5136,-0.0500276,139.4
10.4236,-0.0621666,142.4
9.30188,0.0464422,142.8
11.2077,0.122059,142.4
10.8574,0.145891,143
10.5113,0.130146,140
10.5153,0.136944,140
10.6033,0.135807,142.4
10.5947,0.108734,143.8
10.4161,0.0967728,145
10.1191,0.106729,147.4
10.1491,0.0993195,150.2
10.4359,0.0965896,169
10.7142,0.0873604,172.4
10.9655,0.0984908,172.6
10.9396,0.085561,171.6
10.526,0.102603,172.8
9.5913,0.120109,172.8
8.97435,0.136389,168.4
9.43737,0.129697,159
9.87155,0.131286,158.2
9.60554,0.134922,161
9.60317,0.127458,166.2
9.84633,0.12431,167.2
10.0055,0.122333,170.6
9.33578,0.131108,175.4
8.75827,0.115091,176
6.97221,0,175.8
4.03432,-0.0178469,171.4
2.93371,0,169.2
2.19057,-0.0328682,153
1.27857,0,149.4
2.83517,0,145.8
5.15918,-0.0139557,138.4
9.67478,0,136.8
11.2537,-0.00639792,133.6
10.1226,0,129.2
9.57982,0,126.2
10.1438,0.00709791,125.8
10.7174,0,126
10.9805,0,126.4
11.1751,0,126
11.3237,-0.00635832,124.2
11.3848,-0.00632422,124.4
11.3688,-0.0126662,128.2
11.3226,-0.0190769,130
11.4232,-0.0315149,131.2
11.8794,-0.0363656,129.8
12.039,-0.0598055,127.4
11.9712,-0.0601446,125.2
11.9473,-0.0602645,123
12.49,-0.0576463,122.4
12.4695,-0.0635152,121.4
12.3033,-0.0585208,120.8
12.0884,-0.0595615,120
11.8645,-0.060685,119.2
11.6865,-0.0616093,120.4
11.7292,-0.049108,122.4
11.8744,-0.0545712,123
11.5475,-0.056116,122.4
12.3213,-0.0525917,120.6
11.5746,-0.0311026,120
13.1352,-0.0164444,120
13.756,-0.0209364,119
11.7569,-0.0367444,118.6
11.4885,0.0814727,115
14.7807,0.0535835,115.4
12.7054,0.0510018,119.4
12.5479,0.0401662,121
9.34257,0.0385333,125
